# {"t_start": 1542744412.5104127, "env_id": "HopperAdv-v1"} 
r,l,t
18.69713,18,2.241908
29.405066,49,2.455237
5.208094,7,2.498525
6.472491,13,2.553859
26.258325,37,2.701135
15.505734,20,2.784437
7.814939,15,2.84218
16.478428,17,2.906027
12.878357,14,2.962597
13.180417,15,3.020894
13.441434,17,3.080764
8.839376,12,3.127822
9.364511,12,3.175834
16.135118,25,3.268032
9.635448,17,3.327305
11.282955,16,3.383153
11.900916,20,3.448319
54.554934,47,3.62279
20.602602,21,3.699555
22.362535,26,3.793678
41.058556,42,3.94331
7.285945,16,4.006956
6.542279,10,4.040107
6.336423,13,4.087893
18.014406,18,4.149025
11.466581,13,4.196629
6.369399,11,4.239527
7.614504,15,4.291693
10.976025,14,4.340175
7.497724,12,4.384076
8.572927,24,4.471573
9.796086,22,4.568696
17.896203,23,4.653537
12.492763,17,4.711271
16.357419,17,4.775943
6.930692,9,4.809762
8.126512,14,4.855631
14.437894,20,4.923039
10.799698,14,4.973654
24.778007,22,5.052479
10.362021,15,5.106012
10.603229,12,5.14722
15.625408,16,5.206685
18.174208,31,5.315098
6.790243,9,5.345732
26.147613,36,5.478473
11.499093,14,5.526606
11.939618,16,5.579401
8.972459,22,5.661054
14.462386,15,5.713456
10.82586,17,5.774763
10.320796,12,5.815848
38.103944,43,5.961919
9.987039,17,6.023898
25.764199,23,6.10614
4.357586,7,6.13274
12.135031,16,6.190562
11.54788,24,6.271296
12.672753,15,6.31977
7.047238,10,6.353139
14.974098,21,6.425075
11.108616,16,6.47787
21.930881,26,6.572178
10.220103,14,6.623596
6.965821,12,6.666272
6.665634,12,6.707801
9.996531,14,6.755567
6.187113,16,6.80643
24.076299,22,6.882299
11.485124,26,6.973789
34.915253,31,7.08772
10.202631,18,7.151395
7.186182,12,7.196586
9.192345,19,7.265698
18.120903,21,7.334609
33.5119,31,7.446032
7.77089,9,7.483576
9.474144,20,7.555532
8.918533,17,7.612146
8.088215,14,7.659318
8.840461,16,7.71259
9.435907,17,7.768353
9.056633,17,7.828678
6.461859,18,7.893029
11.28781,18,7.958954
7.269337,10,7.995703
12.574415,14,8.047688
7.226494,16,8.103829
