# {"env_id": "HopperAdv-v1", "t_start": 1542744177.1193388} 
r,l,t
9.820845,22,3.526413
5.612046,25,3.666292
7.282146,14,3.755042
14.10175,19,3.877266
7.306308,15,3.959839
17.548941,20,4.066658
9.212837,12,4.143663
16.086494,24,4.282227
29.310279,32,4.477792
20.108488,33,4.689762
18.15242,18,4.801189
19.709795,32,5.003522
6.866052,23,5.12917
9.078204,15,5.210133
28.767467,24,5.343249
7.415839,28,5.501316
8.029663,11,5.565303
6.15726,13,5.643994
32.834681,30,5.798425
10.820267,18,5.900616
7.806684,12,5.970207
9.265799,28,6.112176
8.217287,11,6.173355
8.853809,17,6.276196
16.899001,19,6.383328
7.673199,12,6.450951
7.671996,17,6.552435
11.116567,14,6.619081
48.352114,47,6.893278
4.431591,10,6.942247
10.189053,12,7.004859
8.763034,10,7.052071
34.54064,29,7.239825
10.319401,17,7.352407
31.399356,26,7.500796
8.986997,18,7.611106
4.481151,8,7.659593
7.180144,11,7.726302
13.002119,18,7.814826
50.180163,43,8.029228
9.790541,23,8.143987
5.529235,8,8.19557
21.618997,35,8.397178
11.665838,23,8.521021
7.916483,13,8.590279
27.328589,21,8.704003
15.663542,20,8.806962
15.394475,27,8.95504
31.164627,37,9.142498
10.256604,20,9.265248
9.868376,12,9.328758
6.643391,9,9.378799
51.811434,43,9.638009
7.266453,12,9.706585
11.332911,17,9.799738
5.805662,19,9.898959
6.019056,14,9.97475
12.428282,19,10.101248
6.324861,11,10.160083
30.825208,26,10.298939
10.943151,22,10.404552
10.114306,22,10.522678
8.534117,11,10.580955
38.322538,35,10.778657
8.073993,13,10.860281
7.656576,11,10.916345
12.170488,14,11.000138
9.083567,17,11.101559
10.527832,21,11.219889
11.217774,12,11.286144
11.228636,12,11.361791
17.366901,19,11.475077
28.426434,27,11.632015
13.878449,18,11.73487
9.086331,17,11.827834
14.944282,18,11.934837
37.916622,35,12.162989
24.02582,21,12.296123
9.777867,14,12.385197
14.054648,15,12.47401
11.745448,13,12.543187
5.743908,8,12.580191
5.884732,9,12.632483
5.762327,9,12.67856
8.485881,14,12.763795
8.050583,18,12.862758
10.295823,13,12.928418
33.633333,29,13.076443
7.248028,13,13.151086
11.618312,29,13.339152
7.488338,16,13.42567
24.937753,32,13.594924
4.823668,11,13.666389
7.890269,10,13.727401
20.634607,32,13.908682
13.053939,15,14.0076
21.115663,22,14.121603
11.080487,13,14.187126
21.89108,27,14.348177
10.788171,18,14.441716
20.897867,31,14.626094
87.817516,62,14.960166
9.790625,13,15.029108
10.282276,14,47.287116
8.094114,11,47.36063
16.53674,37,47.604191
48.414375,43,47.878036
94.517295,53,48.242846
51.352034,48,48.53598
6.045543,12,48.61149
19.950405,19,48.770355
13.541502,15,48.860643
10.918578,24,49.002631
18.148755,22,49.130596
53.362395,50,49.389335
8.94659,11,49.451138
34.990971,30,49.615158
33.477304,37,49.812099
53.816067,37,50.027473
61.777901,44,50.261745
68.091603,46,50.53462
16.623984,26,50.695986
19.381185,23,50.830777
8.706935,13,50.891064
12.836618,17,50.980003
13.64101,17,51.089896
28.015845,24,51.230199
17.59969,21,51.338796
6.72917,10,51.403543
9.065558,26,51.542272
5.042445,11,51.618264
10.12707,11,51.685489
8.275169,11,51.751033
7.917352,14,51.830385
11.022243,13,51.906594
15.741154,17,52.000579
10.250281,18,52.112358
96.846179,69,52.540197
12.574531,13,52.621455
40.368317,51,52.884173
40.266644,45,53.123232
13.918,21,53.234922
17.819849,18,53.329803
14.593526,17,53.430044
12.992484,20,53.54298
7.285592,13,53.609535
14.346948,19,53.706921
25.501016,24,53.858067
28.165269,44,54.118746
6.109013,11,54.176111
109.313196,84,54.640018
6.143112,10,54.694428
12.048282,21,54.796607
14.232932,24,54.923068
65.51509,43,55.15706
10.522059,25,55.307714
24.335962,24,55.445815
25.695782,33,55.632168
14.390937,16,55.734017
11.166486,13,55.805959
8.862833,15,55.878273
18.066993,20,55.979056
21.620932,28,56.142174
50.08765,34,56.318553
52.236456,37,56.542191
10.283096,16,56.633263
11.904914,14,56.7168
11.839679,13,56.804356
41.42593,35,57.036761
10.845501,16,57.133322
16.968848,16,57.219861
9.680725,32,57.412528
12.049214,14,57.49652
21.696091,45,57.715165
7.229202,9,57.769028
19.429906,45,58.010783
6.825333,10,58.068916
111.862989,58,58.363982
5.255009,8,58.402647
33.397857,37,58.591811
21.662803,21,58.704236
10.962159,15,58.777053
10.755183,14,58.846384
7.72827,10,58.897811
124.073457,67,74.69009
18.846536,22,74.829639
8.732225,10,74.88008
28.189744,29,75.056381
21.469384,29,75.231707
230.741555,113,75.861512
47.643541,37,76.078672
80.425432,59,76.425143
16.442519,23,76.548977
128.141375,78,77.008487
16.789447,28,77.147212
41.967975,34,77.325455
9.86321,12,77.385464
8.356833,10,77.444479
18.486078,17,77.537264
135.739423,68,77.920557
71.991706,42,78.171613
76.87728,55,78.492473
19.22851,19,78.621558
38.414539,46,78.916962
11.514418,13,78.992209
57.865108,41,79.228926
25.506749,25,79.383656
37.060634,39,79.60783
193.523698,101,80.228095
40.594831,31,80.393071
26.290451,25,80.510678
85.288603,62,80.868296
14.376084,17,80.98147
48.605198,47,81.264916
30.89841,27,81.458555
140.992763,100,82.116255
90.574623,59,82.580834
21.714929,21,82.70561
8.572944,13,82.785838
94.570826,53,83.135745
17.588781,29,83.330698
22.27733,28,83.520012
58.661137,56,83.876188
28.523059,25,83.999528
25.024628,45,84.250635
96.831864,67,84.641189
140.09634,72,85.043046
29.707696,28,85.196549
133.635418,88,85.700485
90.68686,57,86.001324
15.158661,23,86.135921
15.578803,16,86.241667
52.121783,39,86.426463
32.374467,28,108.296757
110.921222,75,108.706435
19.156666,20,108.820992
34.556407,29,108.981057
11.442908,14,109.048468
113.86678,62,109.389009
34.714165,34,109.578922
13.95655,15,109.668344
81.718011,49,109.952472
36.757124,29,110.13366
194.237631,88,110.615202
175.45428,91,111.136161
35.242197,28,111.308121
154.987907,72,111.720366
56.942344,35,111.921019
34.493575,31,112.108275
169.924528,86,112.604917
30.701689,43,112.852422
56.754052,34,113.052756
26.25856,24,113.178849
39.434228,30,113.341684
98.972136,62,113.727464
20.22685,21,113.84883
126.455944,68,114.225456
163.895608,98,114.733108
83.082562,58,115.057081
50.785991,36,115.247571
96.25416,53,115.507842
52.023011,56,115.840788
120.502586,78,116.304624
23.71505,39,116.526029
62.818748,38,116.72598
209.525038,114,117.400038
77.234801,46,117.651508
273.311415,149,118.474423
27.827449,24,118.603042
107.857596,59,118.927467
144.518649,77,119.364353
68.522945,41,119.61681
146.202623,77,145.104726
195.40089,91,145.653979
74.345881,45,145.936321
132.936395,69,146.373564
248.188974,118,147.092133
105.625781,59,147.449509
64.51697,39,147.678884
85.707427,51,147.981089
127.460777,67,148.395957
208.203088,93,148.938512
179.137886,92,149.471223
217.711843,97,150.03979
205.495024,117,150.797306
64.311325,38,151.027499
175.980753,89,151.53824
84.538361,50,151.854795
132.510861,73,152.271393
139.815369,77,152.766985
180.581503,108,153.454484
78.298553,44,153.724033
191.024891,85,154.27675
189.400305,98,154.899861
95.034613,54,155.244496
203.81152,99,155.872818
216.92074,100,156.524585
74.688318,44,156.829726
244.736527,115,183.755927
178.436886,80,184.222216
204.649382,97,184.834804
204.551607,98,185.424171
142.303032,84,185.921315
150.326505,76,186.364006
178.973035,90,186.912976
237.702613,126,187.655456
12.662157,15,187.737702
117.417559,69,188.178481
117.598738,70,188.622079
88.822466,49,188.912952
90.968322,51,189.216414
140.05365,71,189.654669
152.5017,72,190.048197
277.763971,148,190.905472
99.179544,62,191.308259
81.168168,47,191.598313
206.073262,95,192.135339
232.179272,120,192.780231
255.188848,135,193.624077
140.986257,74,194.108606
144.891548,71,194.509907
109.577243,75,194.910519
156.373586,81,195.480859
243.572573,119,220.41038
196.381087,99,221.017704
208.108657,100,221.613838
227.210179,101,222.259151
116.052702,62,222.656843
221.187593,111,223.362347
227.458218,106,223.995604
210.749528,99,224.583979
159.151176,100,225.201719
192.870628,89,225.776287
237.737807,116,226.538366
221.25966,97,227.154871
231.031717,103,227.825264
156.91764,88,228.479948
58.235389,35,228.761547
142.217993,79,229.338018
236.100034,111,230.059833
197.964894,92,230.673629
208.901131,106,231.397762
120.90818,64,231.781929
156.126767,76,232.261037
229.975283,101,232.928626
211.825264,93,260.324001
183.988257,90,260.860094
245.433693,123,261.723197
201.725989,92,262.268799
233.427952,118,262.999968
182.097823,86,263.617384
231.462233,102,264.227524
218.428033,98,264.810219
223.976023,115,265.501339
220.94993,103,266.143081
225.363057,99,266.732203
190.943314,100,267.334132
224.166299,107,267.988949
126.766856,69,268.412333
181.558031,95,269.005651
231.219153,109,269.657315
229.911843,108,270.332965
72.566619,44,270.616199
203.581023,98,271.228641
227.560803,105,271.832586
199.153559,94,272.429285
228.032526,105,299.711799
227.849833,115,300.426033
196.607192,94,300.968997
224.367385,112,301.684935
205.758746,103,302.383939
208.301299,110,303.088387
73.145527,43,303.360543
232.937841,103,304.049485
245.20575,113,304.732773
241.320008,104,305.413351
205.079792,99,305.994475
208.763108,100,306.610862
94.518186,53,306.952145
206.1321,90,307.452412
221.870872,104,308.089827
283.799232,169,309.161559
209.770558,94,309.773789
215.663804,107,310.465954
229.15605,111,311.219703
39.983138,27,311.391683
50.724253,30,311.622769
215.693507,97,312.272914
201.880921,104,341.500273
227.239527,122,342.247954
268.151093,137,343.063255
213.633612,110,343.780746
224.02371,100,344.400247
187.542745,93,344.986528
219.009268,100,345.599848
266.722742,113,346.326044
232.393447,104,346.944849
226.721512,113,347.714345
171.069908,82,348.242357
252.879589,127,349.056546
231.852997,110,349.732007
213.612943,98,350.373664
246.514479,105,351.009055
245.392294,122,351.773103
252.934189,124,352.565785
220.927068,99,353.232209
222.095797,100,353.926113
217.400645,105,382.997915
207.956658,98,383.64042
197.222244,88,384.227641
204.118147,93,384.777318
238.886716,110,385.48913
218.693444,100,386.136264
195.70047,97,386.706911
211.521805,110,387.370277
272.388601,119,388.123093
230.974692,104,388.801415
220.970502,103,389.413448
151.238832,76,389.901226
218.649779,98,390.471447
232.370134,108,391.11718
222.640918,106,391.733155
91.980233,52,392.023818
218.3831,95,392.63834
214.586419,96,393.216969
228.746726,104,393.956495
215.754372,98,394.659072
230.474766,103,395.399762
215.975017,95,427.876321
92.542878,54,428.209047
322.007308,128,428.99932
238.595788,105,429.70228
227.151378,108,430.47147
213.547556,99,431.12972
294.709618,119,431.90694
44.030631,26,432.100444
276.138717,111,432.800889
119.082818,66,433.177851
229.166515,112,433.868664
173.811878,85,434.393769
83.7215,49,434.690329
235.043858,109,435.389906
228.933094,105,436.014438
230.84965,100,436.640479
200.678742,106,437.378438
223.715935,106,438.036356
240.945934,106,438.722058
210.591935,95,439.353131
227.214423,119,440.158879
247.391686,104,470.66415
223.245981,100,471.307823
283.25925,116,472.145903
208.973146,104,472.843073
271.805161,119,473.626169
246.461065,111,474.364402
254.388818,114,475.101083
214.831945,96,475.770169
269.858343,112,476.511689
274.061892,113,477.276719
323.27054,129,478.097833
259.07916,120,478.820614
268.55856,114,479.502529
230.739553,99,480.199806
235.271513,105,480.844216
252.995605,110,481.521353
264.74547,108,482.228285
286.713849,113,482.962438
294.659026,125,516.595099
87.406014,50,516.924374
296.588709,121,517.792421
261.41262,114,518.594914
309.404302,128,519.52232
226.919447,104,520.22455
225.660943,102,520.908622
268.184075,112,521.610796
293.085569,124,522.399309
287.510712,113,523.218061
292.634976,126,524.14735
247.788371,113,524.91671
286.853107,129,525.797985
300.62912,139,526.767441
309.919324,120,527.593993
234.933697,102,528.235185
332.951004,128,529.110019
278.431584,118,529.944813
221.789683,103,565.88151
325.249256,134,566.77802
310.506001,126,567.621475
25.043421,22,567.800127
307.06332,117,568.591805
257.619335,115,569.301688
311.918201,132,570.153514
210.795212,93,570.76893
301.270275,124,571.582144
241.17824,113,572.311389
210.890979,93,572.897973
258.302413,104,573.536328
172.626261,84,574.10449
234.058254,100,574.823484
263.40014,130,575.684274
327.90268,132,576.495714
319.743947,132,577.359457
234.056035,103,578.068428
329.892373,128,578.974497
293.586528,126,616.404328
126.16725,70,616.865994
291.18686,120,617.697896
298.046503,119,618.488759
307.732975,122,619.288094
292.517973,127,620.166066
328.813033,135,621.103071
309.820567,129,621.95424
332.763059,132,622.812659
241.282914,109,623.509587
299.373207,119,624.312442
210.757781,99,624.941171
318.516473,136,625.861962
304.947006,126,626.699759
335.68576,131,627.544363
309.060509,120,628.384433
323.585205,122,629.18793
269.796256,112,664.766011
264.514447,121,665.5542
311.906658,123,666.390513
315.759511,132,667.317062
218.449093,99,667.982857
313.728469,125,668.80954
290.005324,117,669.597415
283.713252,113,670.342162
348.244251,142,671.312993
308.724186,127,672.147157
301.127192,114,672.920904
386.381843,150,673.976445
314.372959,121,674.836576
365.573838,140,675.898389
278.602882,110,676.66526
331.108324,127,677.521157
339.823214,131,678.355719
277.617942,110,716.702507
319.187624,130,717.535781
304.935929,121,718.322758
299.602682,114,719.088792
309.3474,124,719.890271
327.88409,126,720.654815
401.974455,160,721.667083
323.023091,126,722.41154
312.698128,126,723.179492
344.630655,142,724.116585
324.496829,123,724.92107
303.916642,130,725.788866
311.202716,120,726.650916
310.005967,119,727.544813
353.818938,137,728.502784
308.379627,130,729.405053
329.195776,122,767.828871
276.205998,117,768.642254
388.463594,144,769.672312
356.310272,133,770.619119
295.808519,120,771.384925
379.493762,140,772.364741
315.233892,136,773.283247
276.509865,110,774.063285
314.169594,121,774.843461
339.7106,133,775.665417
339.781816,140,776.568133
302.805965,122,777.289669
278.451905,119,777.995432
332.933347,131,778.797242
337.378462,124,779.573033
355.679981,136,780.478668
245.458341,103,820.947022
251.195558,114,821.770881
339.314786,135,822.720481
240.539107,103,823.417508
419.14535,157,824.486256
228.267613,103,825.189525
424.666293,173,826.374861
269.410925,105,827.108951
375.984199,137,828.11315
105.04458,59,828.521587
432.957833,155,829.579727
360.274395,130,830.421924
310.050104,120,831.247909
260.842948,111,831.986728
376.689929,143,832.913298
332.908044,144,833.855493
339.308493,125,872.498214
315.475908,119,873.244164
430.289941,151,874.293472
407.080947,144,875.29371
352.749725,129,876.240108
355.31765,132,877.131852
476.740652,177,878.316981
414.07875,150,879.307688
415.37203,146,880.245691
321.601508,122,881.045865
292.929085,118,881.815711
329.931016,123,882.644501
368.860862,137,883.632858
327.637252,122,884.437704
309.408975,116,885.283309
413.582674,144,926.880314
410.753707,153,927.849701
240.82888,99,928.455567
339.785116,128,929.370455
391.704952,149,930.315523
394.101906,148,931.261553
429.988378,154,932.189853
246.288415,101,932.820009
287.179153,114,933.552966
474.058338,174,934.679846
378.172102,156,935.723132
411.290079,144,936.655304
425.539204,162,937.759566
481.823875,185,938.876405
387.026388,143,979.094032
341.539903,126,979.856087
460.429136,159,980.918615
365.777539,135,981.764763
440.030454,162,982.832323
437.504483,173,983.993087
412.99227,155,985.008743
506.071473,181,986.179501
310.979463,123,986.985169
411.810674,150,987.935057
328.012567,121,988.756102
76.54224,45,989.035621
346.968167,126,989.843537
402.034156,145,990.758754
446.890605,152,991.715619
480.663788,160,1035.909971
417.614156,144,1037.04025
514.019548,175,1038.271772
514.541873,178,1039.498043
424.146008,151,1040.523661
534.018466,186,1041.721878
567.065372,184,1042.969262
476.874848,172,1044.103217
371.678746,139,1045.002045
488.602527,173,1046.115164
514.772793,184,1047.322213
351.298408,133,1048.228473
513.029753,179,1093.355469
469.6299,169,1094.484306
471.016767,170,1095.549038
348.091231,127,1096.381021
494.359333,160,1097.35936
475.570331,172,1098.432725
356.168219,131,1099.278271
442.262758,156,1100.236013
495.973274,178,1101.365294
531.924907,175,1102.489829
407.226626,167,1103.529881
436.558982,149,1104.474778
343.509569,133,1105.337784
70.642704,40,1105.584664
433.776741,158,1150.909774
486.754511,177,1152.061837
510.595946,173,1153.199149
514.14899,179,1154.452107
327.915784,132,1155.308883
468.645011,155,1156.353938
451.085497,175,1157.438594
474.986363,167,1158.549706
489.616218,163,1159.628086
473.974962,168,1160.846867
526.636153,171,1161.919082
479.477555,180,1163.168101
507.590503,178,1209.302251
489.727656,174,1210.475821
396.567819,139,1211.428388
444.481264,150,1212.417657
397.801164,142,1213.374709
472.484165,168,1214.535634
561.719665,194,1215.875546
362.969611,137,1216.803353
590.446477,188,1218.12545
567.905706,196,1219.378813
477.207283,170,1220.500656
535.613341,170,1221.602722
487.013164,161,1222.702083
578.520822,185,1268.391723
351.965711,132,1269.309022
509.442691,168,1270.466508
527.020314,194,1271.723126
441.498103,157,1272.731071
531.604397,176,1273.901594
510.698961,164,1274.951845
441.928979,156,1276.068949
535.857747,178,1277.208959
236.245042,102,1277.915378
512.854117,159,1278.962513
413.969411,144,1279.998805
574.431364,201,1323.95413
481.945319,173,1325.17513
527.080083,202,1326.471845
499.860354,170,1327.648811
316.155121,119,1328.427385
305.059325,129,1329.294036
377.048222,137,1330.264425
591.106961,198,1331.658998
343.062141,123,1332.511811
553.021736,174,1333.642987
69.044423,39,1333.926162
579.849222,173,1335.118021
547.64192,173,1336.353873
377.89555,144,1337.342119
470.175083,177,1384.162659
573.048356,196,1385.338239
520.664248,174,1386.413742
524.524483,172,1387.492455
426.326162,162,1388.572619
371.892646,142,1389.528729
620.231784,198,1390.86639
522.717866,176,1392.092402
547.964218,191,1393.369403
559.517102,190,1394.677788
55.063595,32,1394.888223
542.882314,182,1396.076286
287.615076,115,1396.74484
563.005452,188,1443.35685
505.508527,169,1444.347455
578.08286,193,1445.584248
356.330108,135,1446.447139
612.687065,197,1447.79701
617.557239,197,1449.192734
520.081582,171,1450.340101
673.892006,226,1451.888809
538.972274,190,1453.187014
522.31228,179,1454.368647
588.128276,197,1455.750136
644.987754,216,1511.517462
538.964673,180,1512.688013
471.557238,166,1513.729749
540.629827,181,1514.87152
558.953285,192,1516.024441
579.659115,186,1517.16289
651.259532,205,1518.450078
579.885299,197,1519.735137
536.334626,173,1520.942916
666.334434,205,1522.380086
593.511309,199,1572.742173
723.755671,228,1574.385999
784.529306,249,1576.061207
636.564659,192,1577.298962
588.080537,201,1578.663572
538.248642,182,1579.89246
617.503288,199,1581.227053
593.392715,202,1582.573131
545.217983,186,1583.795482
339.408168,133,1584.678391
593.426413,198,1585.89945
560.529848,193,1641.417182
625.32346,190,1642.636038
671.772998,223,1644.099952
620.964987,203,1645.367493
357.262902,136,1646.208586
401.056771,145,1647.228453
550.902294,191,1648.523506
605.602509,201,1649.709146
525.634773,185,1650.83711
644.887942,203,1652.054616
635.908864,197,1653.286411
580.892811,193,1705.317268
492.881144,171,1706.438873
460.636899,157,1707.460527
558.677764,193,1708.658591
598.204108,190,1709.867503
579.634022,190,1711.160105
474.232027,178,1712.396682
372.540517,146,1713.374414
614.985289,197,1714.677944
687.679212,214,1716.176275
108.005476,62,1716.560091
602.899637,199,1769.12144
341.141599,129,1769.978951
364.075476,141,1770.899901
510.436777,184,1772.144922
663.715732,214,1773.77081
610.320306,195,1775.094652
544.46202,182,1776.217666
607.041483,184,1777.43868
587.286833,190,1778.665098
755.696479,233,1780.111085
503.273466,188,1781.282989
614.212776,206,1831.387763
362.047487,146,1832.368534
614.971176,197,1833.706747
485.346649,177,1834.89944
600.476831,184,1836.001201
519.607182,184,1837.134548
547.3577,188,1838.295022
600.960237,179,1839.338165
588.797979,199,1840.639559
559.254672,183,1841.738012
