# {"t_start": 1542744308.149929, "env_id": "HopperAdv-v1"} 
r,l,t
18.71376,18,3.501501
29.315987,49,3.813797
5.181883,7,3.860153
6.455081,13,3.956398
26.160396,37,4.159667
15.406381,20,4.270773
7.73563,15,4.364865
16.486421,17,4.476101
12.812466,14,4.595257
13.072864,15,4.694539
13.390252,17,4.794557
8.828857,12,4.868791
9.352201,12,4.941506
16.296712,25,5.111813
9.622485,17,5.233113
11.232193,16,5.327629
11.710506,20,5.447648
54.227753,47,5.731546
20.589665,21,5.855112
22.5356,26,5.996582
41.382451,42,6.241067
7.286465,16,6.33901
6.574022,10,6.395222
6.358114,13,6.467953
18.02578,18,6.572786
11.407241,13,6.643415
6.384203,11,6.71017
7.622961,15,6.801276
11.027773,14,6.88485
7.498123,12,6.95796
8.375415,24,7.107565
9.780293,22,7.243575
17.871149,23,7.391888
12.478001,17,7.508546
16.35491,17,7.610965
6.940129,9,7.664044
8.084089,14,7.748538
14.395648,20,7.872375
10.790544,14,7.96385
24.77036,22,8.090424
10.27807,15,8.184586
10.568415,12,8.260738
15.677958,16,8.384293
18.065433,31,8.568593
6.723059,9,8.62283
26.086292,36,8.848592
11.504399,14,8.923658
11.964675,16,9.029753
9.005982,22,9.154171
14.463477,15,9.25145
10.86494,17,9.351326
10.338696,12,9.446862
38.217598,43,9.707462
10.047847,17,9.828026
25.686482,23,9.972778
4.349121,7,10.017423
12.13879,16,10.117065
11.634848,24,10.272695
12.719402,15,10.358974
7.079519,10,10.413043
14.9836,21,10.554018
11.182077,16,10.650131
21.90028,26,10.815187
10.26145,14,10.907153
6.92319,12,10.999162
6.612673,12,11.06833
9.995605,14,11.154253
6.167534,16,11.254212
24.062893,22,11.377318
11.406126,26,11.540271
34.924505,31,11.733755
10.164088,18,11.833133
7.244135,12,11.907047
9.228049,19,12.03556
18.068873,21,12.172909
33.75097,31,12.388062
7.753814,9,12.438626
9.488756,20,12.558981
8.977642,17,12.672539
8.021974,14,12.767929
8.898405,16,12.876145
9.410141,17,13.005641
9.159404,17,13.126679
6.354852,18,13.235386
11.319515,18,13.334823
7.3015,10,13.381901
12.653449,14,13.462913
7.256156,16,13.567019
27.447603,24,13.753882
15.454066,22,13.900888
13.377008,16,13.990063
9.873611,11,14.050868
6.727894,11,14.11743
9.698007,15,14.206774
80.514584,47,14.459752
15.223824,17,14.559516
12.091339,24,14.706216
10.167581,21,14.850325
8.196136,34,15.069323
40.394415,34,15.286285
11.104332,19,15.403551
27.96061,25,15.543031
6.947074,9,15.596735
4.734706,9,15.649124
8.593909,12,15.711064
47.083812,31,15.889225
7.744518,12,15.959269
9.785755,14,16.029507
62.360131,41,35.475402
24.816913,23,35.622448
11.946279,25,35.781435
12.99326,20,35.904103
84.234913,49,36.2088
12.866642,14,36.292387
16.114361,20,36.428478
33.487275,35,36.639978
12.287369,23,36.779441
7.423293,10,36.853413
20.825038,21,37.02428
12.550981,13,37.105423
22.516951,40,37.339647
8.748748,25,37.517924
6.796634,12,37.590198
91.699059,55,37.931212
16.666369,20,38.062557
8.701247,12,38.145698
12.322561,20,38.282832
14.632953,16,38.384154
19.543181,18,38.482281
70.8737,45,38.790154
12.641337,27,38.968553
15.509137,22,39.106411
6.549325,9,39.158093
13.840026,29,39.340454
14.933694,14,39.42331
89.270503,50,39.74396
11.316979,16,39.838126
18.818761,19,39.959784
10.426799,14,40.048261
50.298755,37,40.296278
19.575378,21,40.44434
12.376357,17,40.548585
7.118842,15,40.631402
21.143892,20,40.753006
21.694927,20,40.880355
10.244693,19,40.984893
99.78077,56,41.316164
13.526392,19,41.424144
7.350976,19,41.541023
23.343183,31,41.713977
8.522632,11,41.77673
9.374326,24,41.919974
22.779962,44,42.197648
5.263001,8,42.251192
28.717971,28,42.402237
21.004269,20,42.515611
42.982376,39,42.760544
11.43242,32,42.931337
9.233817,11,42.995561
7.328752,17,43.096564
10.230669,23,43.236803
18.122646,25,43.379404
122.309771,63,43.736053
7.931474,10,43.79001
65.242032,55,44.115055
6.31037,12,44.197331
18.410506,17,44.300344
14.388787,18,44.395621
7.668239,13,44.469949
16.542045,31,44.645577
7.534258,14,44.718292
15.455827,15,44.811927
10.281404,22,44.946611
9.460493,14,45.033601
67.035579,50,45.38349
12.16367,41,45.628467
5.231631,12,45.695297
22.044843,21,45.809124
5.658657,9,45.859667
12.515988,24,46.018207
11.977607,13,46.09758
7.954323,12,46.159222
49.878998,44,46.416557
9.961851,25,46.557183
5.536777,13,46.626044
78.426591,49,46.931895
71.337305,46,47.185691
39.223359,48,47.496995
11.91279,17,47.600158
18.651573,24,47.760399
12.681572,13,47.854213
9.522564,12,68.388312
28.242255,40,68.631579
7.720094,26,68.815693
19.156317,18,68.925476
22.338261,20,69.042152
20.755487,18,69.15181
9.368915,11,69.223148
21.503526,29,69.393607
128.65783,83,69.900054
127.280901,69,70.301006
24.612836,19,70.428471
73.675782,44,70.721122
24.226729,21,70.865116
91.166896,63,71.235302
10.315188,12,71.324307
35.837571,66,71.751353
121.904325,66,72.174251
13.877544,17,72.277413
104.24433,59,72.68579
29.368588,26,72.881605
33.987701,28,73.064584
65.9332,38,73.307932
7.524176,12,73.394389
102.407296,59,73.737245
9.244882,11,73.810001
11.252569,14,73.888858
8.941422,13,73.961954
17.623019,16,74.058305
211.315287,96,74.675849
85.85801,49,74.974547
52.549601,35,75.199137
62.81987,39,75.445869
17.388285,19,75.565786
111.957122,85,76.082133
22.656171,22,76.225134
15.729652,15,76.318067
19.824266,35,76.530375
20.513659,19,76.634927
37.175058,48,76.936165
17.698684,20,77.062339
60.195638,42,77.312999
18.139295,28,77.515433
84.399631,62,77.929792
87.426551,49,78.260251
18.241664,17,78.361329
17.206221,17,78.454508
19.335096,27,78.618217
19.092836,19,78.723803
46.084449,47,79.142923
23.407052,20,79.261351
17.356549,18,79.370508
15.981667,16,79.46739
27.651892,27,79.646637
8.569728,11,79.716914
78.630863,50,80.026612
16.95991,18,80.150378
20.057407,23,80.300828
56.875805,53,80.634626
153.230018,80,81.133206
184.336234,87,103.491158
62.290541,56,103.872563
32.628055,29,104.070024
15.67589,16,104.169741
114.909431,63,104.563766
66.424425,40,104.775079
95.113054,62,105.169597
198.080333,87,105.658309
113.108695,60,106.072677
9.298629,26,106.281123
47.268577,34,106.500208
136.619508,68,106.940342
23.473531,26,107.109913
12.630276,14,107.198534
124.905211,64,107.591886
96.083435,56,107.934227
166.020764,100,108.590642
10.188315,12,108.677078
124.692612,65,109.135493
154.903522,73,109.594934
34.694313,26,109.759056
92.289624,64,110.173299
90.139056,62,110.556406
122.63229,78,111.044414
33.503963,42,111.29724
19.139341,20,111.418984
187.048504,91,111.986109
116.112415,64,112.411663
122.227781,64,112.821637
9.515291,12,112.90644
71.670334,43,113.151867
58.466439,37,113.36668
146.362839,72,113.820283
8.75505,27,114.007857
30.156947,26,114.180757
96.385517,63,114.563351
10.625577,38,114.797803
9.807817,12,114.875716
14.127996,38,115.135062
168.993047,82,115.632772
91.789899,78,116.132222
135.333404,76,138.791018
193.317745,99,139.397534
99.512221,60,139.768379
63.107564,38,140.046121
56.075546,34,140.273339
56.207508,33,140.489527
64.225049,38,140.705396
55.344151,37,140.95382
118.341737,62,141.325793
65.70933,39,141.573122
116.448234,63,141.948282
232.387876,120,142.754839
82.79103,50,143.073906
63.124547,38,143.319871
52.739111,32,143.513173
97.100648,54,143.838647
88.887724,49,144.168944
